Theme,Epic,User Story,Titre,Estimation,Priorité,Type,Capabilities,Dépendances,Nb dépendances,Nb dépendants
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux débloquer de nouvelles fonctionnalités avec mon niveau",Débloquer de nouvelles fonctionnalités avec mon niveau,M,Should,Back + Front,gamification,Monter de niveau grâce à mes actions,1,0
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux consulter les avantages du niveau suivant",Consulter les avantages du niveau suivant,S,Should,Front,gamification,Monter de niveau grâce à mes actions,1,0
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux des défis quotidiens pour gagner de l'XP",Des défis quotidiens pour gagner de l'XP,M,Could,Back + Front,gamification;reward,Gagner des points d'expérience en complétant des chasses,1,0
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux comparer mon niveau avec d'autres joueurs",Compare mon niveau avec d'autres joueurs,M,Could,Back + Front,gamification;analytics;social,Monter de niveau grâce à mes actions,1,0
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux des badges pour mes accomplissements",Des badges pour mes accomplissements,M,Could,Back + Front,gamification;reward,Monter de niveau grâce à mes actions,1,0
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux voir l'historique de mes points gagnés",Historique de mes points gagnés,S,Could,Back + Front,gamification;analytics,Gagner des points d'expérience en complétant des chasses,1,0
Expérience joueur,Système de niveau et d'expérience,"En tant qu'utilisateur, je veux des récompenses spéciales à certains paliers",Récompenses spéciales à certains paliers,M,Should,Back + Front,gamification;reward,Monter de niveau grâce à mes actions,1,0
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux recevoir une récompense pour ma connexion quotidienne",Recevoir une récompense pour ma connexion quotidienne,S,Should,Back + Front,reward;gamification,,0,12
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux un calendrier de récompenses progressives",Un calendrier de récompenses progressives,M,Should,Back + Front,reward;gamification,Recevoir une récompense pour ma connexion quotidienne,1,0
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux être notifié de ma récompense disponible",Être notifié de ma récompense disponible,XS,Should,Back + Front,reward;notification,Recevoir une récompense pour ma connexion quotidienne,1,0
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux des bonus pour les connexions consécutives",Des bonus pour les connexions consécutives,XS,Should,Back + Front,reward;gamification,Recevoir une récompense pour ma connexion quotidienne,1,0
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux voir le temps restant avant la prochaine récompense",Voir le temps restant avant la prochaine récompense,XS,Should,Front,reward;gamification,Recevoir une récompense pour ma connexion quotidienne,1,0
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux des récompenses spéciales les week-ends",Des récompenses spéciales les week-ends,S,Could,Back + Front,reward;gamification,Recevoir une récompense pour ma connexion quotidienne,1,0
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux rattraper une récompense manquée",Rattraper une récompense manquée,M,Could,Back + Front,reward;gamification,Recevoir une récompense pour ma connexion quotidienne,1,0
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux échanger des récompenses contre d'autres items",Échanger des récompenses contre d'autres items,M,Won't,Back + Front,reward,Recevoir une récompense pour ma connexion quotidienne,1,0
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux partager mes récompenses sur les réseaux sociaux",Partager mes récompenses sur les réseaux sociaux,S,Could,Front,reward;social,Recevoir une récompense pour ma connexion quotidienne;Lier mes réseaux sociaux à mon profil,2,0
Expérience joueur,Récompenses quotidiennes (Flamme Snapchat),"En tant qu'utilisateur, je veux des récompenses exclusives lors d'événements",Des récompenses exclusives lors d'événements,M,Could,Back + Front,reward;gamification,Recevoir une récompense pour ma connexion quotidienne,1,0
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux être notifié quand quelqu'un trouve ma cache",Être notifié quand quelqu'un trouve ma cache,S,Must,Back + Front,notification;content-management,Recevoir des notifications push sur mon téléphone,1,0
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux être alerté des nouvelles chasses près de moi",Être alerté des nouvelles chasses près de moi,S,Could,Back + Front,notification;content-management,Recevoir des notifications push sur mon téléphone,1,0
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux recevoir des notifications push sur mon téléphone",Recevoir des notifications push sur mon téléphone,M,Must,Back + Front,notification,,0,11
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux personnaliser les types de notifications reçues",Personnaliser les types de notifications reçues,M,Should,Back + Front,notification,Recevoir des notifications push sur mon téléphone,1,0
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux être notifié des récompenses disponibles",Être notifié des récompenses disponibles,S,Should,Back + Front,notification;reward,Recevoir une récompense pour ma connexion quotidienne;Recevoir des notifications push sur mon téléphone,2,0
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux être informé des messages reçus",Être informé des messages reçus,S,Should,Back + Front,notification;social,Recevoir une récompense pour ma connexion quotidienne;Recevoir des notifications push sur mon téléphone,2,0
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux voir un centre de notifications dans l'app",Voir un centre de notifications dans l'app,M,Must,Front,notification,Recevoir des notifications push sur mon téléphone,1,0
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux désactiver temporairement les notifications",Désactiver temporairement les notifications,S,Should,Back + Front,notification,Recevoir des notifications push sur mon téléphone,1,0
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux recevoir des notifications par email",Recevoir des notifications par email,M,Could,Back,notification,,0,0
Expérience joueur,Système de notifications,"En tant qu'utilisateur, je veux être notifié des mises à jour importantes",être notifié des mises à jour importantes,S,Should,Back + Front,notification,Recevoir des notifications push sur mon téléphone,1,0
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux voir le nombre total de chasses complétées",Voir le nombre total de chasses complétées,S,Should,Back + Front,analytics;content-management,,0,2
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux consulter ma distance totale parcourue",Consulter ma distance totale parcourue,M,Should,Back + Front,analytics,,0,0
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux visualiser mes statistiques sous forme de graphiques",Visualiser mes statistiques sous forme de graphiques,M,Could,Front,analytics,Voir le nombre total de chasses complétées,1,3
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux voir mon classement parmi les autres joueurs",Voir mon classement parmi les autres joueurs,M,Could,Back + Front,analytics;gamification;social,,0,0
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux consulter mes artefacts collectionnés",Consulter mes artefacts collectionnés,M,Must,Back + Front,analytics;blockchain,Collecter des artefacts uniques (NFT);Voir le nombre total de chasses complétées,2,0
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux suivre mes objectifs personnels",Suivre mes objectifs personnels,M,Must,Back + Front,analytics;gamification,,0,0
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux voir mes réalisations récentes",Voir mes réalisations récentes,S,Should,Back + Front,analytics;gamification,,0,0
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux exporter mes statistiques",Exporter mes statistiques,L,Won't,Back + Front,analytics,Visualiser mes statistiques sous forme de graphiques,1,0
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux personnaliser mon tableau de bord",Personnaliser mon tableau de bord,L,Won't,Front,analytics,Visualiser mes statistiques sous forme de graphiques,1,0
Expérience joueur,Dashboard global (Metrics),"En tant qu'utilisateur, je veux des suggestions basées sur mes statistiques",Des suggestions basées sur mes statistiques,L,Could,Back + Front,analytics,Visualiser mes statistiques sous forme de graphiques,1,0
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux créer une chasse au trésor simple",Créer une chasse au trésor simple,M,Must,Back + Front,content-creation,,0,13
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux définir l'emplacement d'une cache sur la carte",Définir l'emplacement d'une cache sur la carte,S,Must,Front,content-creation;map,Créer une chasse au trésor simple,1,0
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux ajouter des indices pour ma chasse",Ajouter des indices pour ma chasse,S,Must,Front + Back,content-creation,Créer une chasse au trésor simple,1,0
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux associer une énigme à ma cache",Associer une énigme à ma cache,M,Must,Front + Back,content-creation;puzzle,Créer une chasse au trésor simple,1,0
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux définir la difficulté de ma chasse",Définir la difficulté de ma chasse,XS,Must,Front + Back,content-creation;gamification,Créer une chasse au trésor simple,1,0
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux ajouter des photos à ma cache",Ajouter des photos à ma cache,S,Should,Front + Back,content-creation;media,Créer une chasse au trésor simple,1,0
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux prévisualiser ma chasse avant publication",Prévisualiser ma chasse avant publication,M,Should,Front,content-creation,Créer une chasse au trésor simple,1,0
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux modifier une chasse existante",Modifier une chasse existante,M,Should,Front + Back,content-management,Créer une chasse au trésor simple,1,0
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux dupliquer une chasse existante",Dupliquer une chasse existante,S,Could,Front + Back,content-management,Créer une chasse au trésor simple,1,0
Création & Gestion de contenu,Création de chasses standard,"En tant qu'utilisateur, je veux définir un rayon de proximité pour ma cache",Définir un rayon de proximité pour ma cache,S,Must,Front + Back,content-creation;map,Créer une chasse au trésor simple,1,0
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux créer une chasse avec plusieurs étapes",Créer une chasse avec plusieurs étapes,L,Should,Front + Back,content-creation,Créer une chasse au trésor simple,1,9
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux définir un parcours spécifique pour ma chasse",Définir un parcours spécifique pour ma chasse,L,Should,Front + Back,content-creation;map,Créer une chasse avec plusieurs étapes,1,0
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux intégrer des éléments de réalité augmentée",Intégrer des éléments de réalité augmentée,XL,Could,Front,content-creation;ar,Créer une chasse avec plusieurs étapes,1,0
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux ajouter des conditions temporelles",Ajouter des conditions temporelles,M,Could,Front + Back,content-creation;gamification,Créer une chasse avec plusieurs étapes,1,0
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux personnaliser l'apparence visuelle de ma chasse",Personnaliser l'apparence visuelle de ma chasse,L,Could,Front,content-creation;media,Créer une chasse avec plusieurs étapes,1,0
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux définir des récompenses spécifiques",Définir des récompenses spécifiques,M,Should,Front + Back,content-creation;reward,Créer une chasse avec plusieurs étapes,1,0
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux limiter ma chasse à un groupe spécifique",Limiter ma chasse à un groupe spécifique,M,Should,Front + Back,content-creation;social,Créer une chasse avec plusieurs étapes,1,0
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux créer une chasse thématique",Créer une chasse thématique,M,Could,Front + Back,content-creation,Créer une chasse avec plusieurs étapes,1,0
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux ajouter du contenu audio à ma chasse",Ajouter du contenu audio à ma chasse,M,Could,Front + Back,content-creation;media,Créer une chasse avec plusieurs étapes,1,0
Création & Gestion de contenu,Création de chasses personnalisées,"En tant qu'utilisateur, je veux créer une chasse éducative avec quiz",Créer une chasse éducative avec quiz,L,Could,Front + Back,content-creation;gamification;quiz,Créer une chasse avec plusieurs étapes,1,0
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux créer des énigmes textuelles simples",Créer des énigmes textuelles simples,S,Must,Front + Back,puzzle;content-creation,,0,9
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux associer des indices visuels à mes énigmes",Associer des indices visuels à mes énigmes,M,Should,Front + Back,puzzle;media,Créer des énigmes textuelles simples,1,0
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux choisir parmi des modèles d'énigmes prédéfinis",Choisir parmi des modèles d'énigmes prédéfinis,M,Should,Front + Back,puzzle,Créer des énigmes textuelles simples,1,0
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux définir plusieurs niveaux d'indices",Définir plusieurs niveaux d'indices,M,Should,Front + Back,puzzle,Créer des énigmes textuelles simples,1,0
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux créer des énigmes avec plusieurs solutions valides",Créer des énigmes avec plusieurs solutions valides,M,Could,Front + Back,puzzle,Créer des énigmes textuelles simples,1,0
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux tester la résolution de mon énigme",Tester la résolution de mon énigme,S,Must,Front + Back,puzzle,Créer des énigmes textuelles simples,1,0
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux importer des énigmes existantes",Importer des énigmes existantes,M,Could,Front + Back,puzzle,Créer des énigmes textuelles simples,1,0
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux noter la difficulté perçue des énigmes",Noter la difficulté perçue des énigmes,S,Could,Front + Back,puzzle;gamification,Créer des énigmes textuelles simples,1,0
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux créer des énigmes qui nécessitent l'observation du lieu réel",Créer des énigmes qui nécessitent l'observation du lieu réel,M,Should,Front + Back,puzzle;content-creation;map,Créer des énigmes textuelles simples,1,0
Création & Gestion de contenu,Gestion des énigmes,"En tant qu'utilisateur, je veux un historique de mes énigmes créées",Un historique de mes énigmes créées,S,Could,Front + Back,puzzle;analytics,Créer des énigmes textuelles simples,1,0
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux signaler un contenu inapproprié",Signaler un contenu inapproprié,S,Must,Front + Back,moderation,,0,3
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux noter la qualité des chasses complétées",Noter la qualité des chasses complétées,S,Should,Front + Back,moderation;analytics,,0,0
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux laisser un commentaire sur une chasse",Laisser un commentaire sur une chasse,S,Should,Front + Back,moderation;social,,0,0
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux signaler une cache introuvable",Signaler une cache introuvable,S,Must,Front + Back,moderation,,0,0
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux contester une modération",Contester une modération,M,Should,Front + Back,moderation,Signaler un contenu inapproprié,1,0
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux voir l'état de modération de mes chasses",Voir l'état de modération de mes chasses,S,Should,Front + Back,moderation,Signaler un contenu inapproprié,1,0
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux recevoir des notifications de modération",Recevoir des notifications de modération,S,Should,Front + Back,moderation;notification,Signaler un contenu inapproprié;Recevoir des notifications push sur mon téléphone,2,0
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux filtrer les chasses par évaluation",Filtrer les chasses par évaluation,M,Could,Front + Back,moderation;content-management,,0,0
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux voir les règles de modération",Voir les règles de modération,XS,Must,Front,moderation,,0,0
Création & Gestion de contenu,Modération du contenu (Utilisateur),"En tant qu'utilisateur, je veux un système de reconnaissance des contributeurs fiables",Système de reconnaissance des contributeurs fiables,L,Could,Front + Back,moderation;social,,0,0
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux voir mon solde de monnaie virtuelle",Voir mon solde de monnaie virtuelle,S,Must,Front + Back,wallet,,0,11
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux gagner de la monnaie en complétant des chasses",Gagner de la monnaie en complétant des chasses,M,Must,Back,wallet;reward;content-management,Voir mon solde de monnaie virtuelle;Recevoir des notifications push sur mon téléphone;Créer une chasse au trésor simple,3,0
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux dépenser ma monnaie pour des objets virtuels",Dépenser ma monnaie pour des objets virtuels,M,Should,Front + Back,wallet;reward,Voir mon solde de monnaie virtuelle,1,0
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux consulter l'historique de mes transactions",Consulter l'historique de mes transactions,M,Should,Front + Back,wallet;analytics,Voir mon solde de monnaie virtuelle,1,0
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux transférer de la monnaie à d'autres utilisateurs",Transférer de la monnaie à d'autres utilisateurs,L,Could,Front + Back,wallet;social,Voir mon solde de monnaie virtuelle,1,0
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux acheter de la monnaie avec de l'argent réel",Acheter de la monnaie avec de l'argent réel,L,Could,Front + Back,wallet,Voir mon solde de monnaie virtuelle,1,0
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux des notifications pour mes transactions",Des notifications pour mes transactions,S,Should,Front + Back,wallet;notification,Voir mon solde de monnaie virtuelle,1,0
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux sécuriser mon wallet avec authentification",Sécuriser mon wallet avec authentification,M,Must,Front + Back,wallet;auth,Voir mon solde de monnaie virtuelle;Créer un compte avec email et mot de passe,2,3
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux récupérer mon wallet en cas de perte d'accès",Récupérer mon wallet en cas de perte d'accès,M,Must,Back,wallet;auth,Sécuriser mon wallet avec authentification,1,0
Écosystème & économique,Wallet & Transactions,"En tant qu'utilisateur, je veux définir des limites de dépenses",Définir des limites de dépenses,M,Could,Front + Back,wallet,Sécuriser mon wallet avec authentification,1,0
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux collecter des artefacts uniques (NFT)",Collecter des artefacts uniques (NFT),L,Should,Front + Back + Blockchain,blockchain;reward,,0,9
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux voir ma collection d'artefacts",Voir ma collection d'artefacts,M,Should,Front + Blockchain,blockchain;analytics,Collecter des artefacts uniques (NFT),1,0
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux obtenir un certificat d'authenticité pour mes découvertes",Obtenir un certificat d'authenticité pour mes découvertes,M,Could,Back + Blockchain,blockchain,Collecter des artefacts uniques (NFT),1,0
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux échanger des artefacts avec d'autres joueurs",Échanger des artefacts avec d'autres joueurs,L,Could,Front + Back + Blockchain,blockchain;social,Collecter des artefacts uniques (NFT),1,0
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux connecter un wallet externe",Connecter un wallet externe,L,Could,Front + Blockchain,blockchain;wallet,Sécuriser mon wallet avec authentification,1,0
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux comprendre la valeur de mes NFT",Comprendre la valeur de mes NFT,M,Could,Front + Blockchain,blockchain;analytics,Collecter des artefacts uniques (NFT),1,0
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux des artefacts à édition limitée",Artefacts à édition limitée,M,Could,Back + Blockchain,blockchain,Collecter des artefacts uniques (NFT),1,0
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux recevoir des NFT pour des événements spéciaux",Recevoir des NFT pour des événements spéciaux,M,Won't,Back + Blockchain,blockchain;reward,Collecter des artefacts uniques (NFT),1,0
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux exporter mes NFT vers d'autres plateformes",Exporter mes NFT vers d'autres plateformes,XL,Won't,Back + Blockchain,blockchain,Collecter des artefacts uniques (NFT),1,0
Écosystème & économique,Blockchain & NFT,"En tant qu'utilisateur, je veux voir l'historique de propriété d'un artefact",Voir l'historique de propriété d'un artefact,M,Could,Front + Blockchain,blockchain;analytics,Collecter des artefacts uniques (NFT),1,0
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux échanger ma monnaie contre des cartes cadeaux",Échanger ma monnaie contre des cartes cadeaux,L,Could,Front + Back,giftcard;wallet,Voir mon solde de monnaie virtuelle,1,4
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux voir les cartes cadeaux disponibles",Voir les cartes cadeaux disponibles,M,Could,Front + Back,giftcard,,0,3
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux recevoir ma carte cadeau par email",Recevoir ma carte cadeau par email,M,Could,Back,giftcard;notification,Échanger ma monnaie contre des cartes cadeaux,1,0
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux offrir une carte cadeau à un ami",Offrir une carte cadeau à un ami,M,Could,Front + Back,giftcard;social,Échanger ma monnaie contre des cartes cadeaux,1,0
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux échanger des points contre des réductions chez des partenaires",Échanger des points contre des réductions chez des partenaires,L,Won't,Front + Back,giftcard;partner,Voir mon solde de monnaie virtuelle,1,0
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux être notifié des nouvelles offres d'échange",Être notifié des nouvelles offres d'échange,S,Could,Front + Back,giftcard;notification,Voir les cartes cadeaux disponibles,1,0
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux consulter l'historique de mes échanges",Consulter l'historique de mes échanges,M,Could,Front + Back,giftcard;analytics,Échanger ma monnaie contre des cartes cadeaux,1,0
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux annuler un échange en cours",Annuler un échange en cours,M,Could,Front + Back,giftcard,Échanger ma monnaie contre des cartes cadeaux,1,0
Écosystème & économique,Cartes cadeaux & Échanges,"En tant qu'utilisateur, je veux des promotions sur les échanges lors d'événements",Des promotions sur les échanges lors d'événements,M,Won't,Front + Back,giftcard,Voir les cartes cadeaux disponibles,1,0
